TESTE COM ARQUIVO GRANDE

-----------Padrão pequeno

#Forca Bruta

Casamento na posicao: 969071
Casamento na posicao: 976745
Casamento na posicao: 977757
Casamento na posicao: 978456
Casamento na posicao: 986130
Casamento na posicao: 987142
Casamento na posicao: 987841
Casamento na posicao: 995515
Casamento na posicao: 996527
Casamento na posicao: 997226
Casamento na posicao: 1001665
Casamento na posicao: 1002677
Casamento na posicao: 1003376
Casamento na posicao: 1011050
Casamento na posicao: 1012062
Casamento na posicao: 1012761
Casamento na posicao: 1020435
Casamento na posicao: 1021447
Casamento na posicao: 1022146
Casamento na posicao: 1029820
Casamento na posicao: 1030832
Casamento na posicao: 1031531
Casamento na posicao: 1039205
Casamento na posicao: 1040217
Casamento na posicao: 1040916
Casamento na posicao: 1048590
Casamento na posicao: 1049602
Casamento na posicao: 1050301
Casamento na posicao: 1057975
Casamento na posicao: 1058987
Casamento na posicao: 1059686
Casamento na posicao: 1067360
Casamento na posicao: 1068372
Casamento na posicao: 1069071
Casamento na posicao: 1076745
Casamento na posicao: 1077757
Casamento na posicao: 1078456
Casamento na posicao: 1086130
Casamento na posicao: 1087142
Casamento na posicao: 1087841
Casamento na posicao: 1095515
Casamento na posicao: 1096527
Casamento na posicao: 1097226
Casamento na posicao: 1101666
Casamento na posicao: 1102678
Casamento na posicao: 1103377
Casamento na posicao: 1111051
Casamento na posicao: 1112063
Casamento na posicao: 1112762
Casamento na posicao: 1120436
Casamento na posicao: 1121448
Casamento na posicao: 1122147
Casamento na posicao: 1129821
Casamento na posicao: 1130833
Casamento na posicao: 1131532
Casamento na posicao: 1139206
Casamento na posicao: 1140218
Casamento na posicao: 1140917
Casamento na posicao: 1148591
Casamento na posicao: 1149603
Casamento na posicao: 1150302
Casamento na posicao: 1157976
Casamento na posicao: 1158988
Casamento na posicao: 1159687
Casamento na posicao: 1167361
Casamento na posicao: 1168373
Casamento na posicao: 1169072
Casamento na posicao: 1176746
Casamento na posicao: 1177758
Casamento na posicao: 1178457
Casamento na posicao: 1186131
Casamento na posicao: 1187143
Casamento na posicao: 1187842
Casamento na posicao: 1195516
Casamento na posicao: 1196528
Casamento na posicao: 1197227
Casamento na posicao: 1201665
Casamento na posicao: 1202677
Casamento na posicao: 1203376
Casamento na posicao: 1211050
Casamento na posicao: 1212062
Casamento na posicao: 1212761
Casamento na posicao: 1220435
Casamento na posicao: 1221447
Casamento na posicao: 1222146
Casamento na posicao: 1229820
Casamento na posicao: 1230832
Casamento na posicao: 1231531
Casamento na posicao: 1239205
Casamento na posicao: 1240217
Casamento na posicao: 1240916
Casamento na posicao: 1248590
Casamento na posicao: 1249602
Casamento na posicao: 1250301
Casamento na posicao: 1257975
